"application_type";"IND_num";"studyID"
"ANDA";"ANDA083246";"8346980"
"ANDA";"ANDA083246";"8397780"
"ANDA";"ANDA205954";"20322301"
"ANDA";"ANDA205954";"BNP-001"
"ANDA";"ANDA208548";"8391504"
"ANDA";"ANDA210575";"0056-18"
"ANDA";"ANDA211538";"2233-14828"
"ANDA";"ANDA211593";"BIO-CTX 038"
"ANDA";"ANDA211687";"BIO-CTX 038"
"ANDA";"ANDA213161";"G21635"
"ANDA";"ANDA214137";"8002610"
"ANDA";"ANDA214493";"G18645"
"ANDA";"ANDA214502";"G18645"
"ANDA";"ANDA214552";"G21199"
"ANDA";"ANDA215834";"BIO-CTX 270"
"ANDA";"ANDA216247";"G21136"
"ANDA";"ANDA216633";"G19937"
"BLA";"BLA103362";"FY14-045"
"BLA";"BLA125268";"1017-4083"
"BLA";"BLA125268";"1018-4403"
"BLA";"BLA125268";"2018-1873"
"BLA";"BLA125509";"1030"
"BLA";"BLA125509";"1045"
"BLA";"BLA125509";"1056"
"BLA";"BLA125509";"1984-001"
"BLA";"BLA125509";"1984-003"
"BLA";"BLA125509";"1984-004"
"BLA";"BLA125509";"2469"
"BLA";"BLA125509";"AP107"
"BLA";"BLA125509";"AP201"
"BLA";"BLA125509";"AP202"
"BLA";"BLA125509";"AP203"
"BLA";"BLA125509";"AP204"
"BLA";"BLA125509";"AP301"
"BLA";"BLA125509";"AP305"
"BLA";"BLA125509";"AP307"
"BLA";"BLA125509";"AR001"
"BLA";"BLA125509";"AR003"
"BLA";"BLA125509";"AR004"
"BLA";"BLA125509";"AR007"
"BLA";"BLA125509";"AR010"
"BLA";"BLA125509";"AR012"
"BLA";"BLA125509";"AR021"
"BLA";"BLA125509";"AR028"
"BLA";"BLA125509";"AR0315"
"BLA";"BLA125509";"AR0315-PK"
"BLA";"BLA125509";"AR033"
"BLA";"BLA125509";"AR034"
"BLA";"BLA125509";"AR035"
"BLA";"BLA125509";"AR037"
"BLA";"BLA761027";"259.120.897"
"BLA";"BLA761064";"165.004"
"BLA";"BLA761091";"ZIP0014"
"BLA";"BLA761115";"SNBL.160.25"
